date,home_score,away_score,tournament,city,country,neutral,home_id,away_id,tier,match_id,home_team_name,away_team_name,shootout_winner_id
2022-12-02,2,3,FIFA World Cup,Doha,Qatar,true,serbia,switzerland,world_cup,20221202-serbia-switzerland,Serbia,Switzerland,
2022-12-02,2,1,FIFA World Cup,Al Rayyan,Qatar,true,south-korea,portugal,world_cup,20221202-south-korea-portugal,South Korea,Portugal,
2022-12-03,2,1,FIFA World Cup,Al Rayyan,Qatar,true,argentina,australia,world_cup,20221203-argentina-australia,Argentina,Australia,
2022-12-03,3,1,FIFA World Cup,Al Rayyan,Qatar,true,netherlands,united-states,world_cup,20221203-netherlands-united-states,Netherlands,United States,
2022-12-04,3,0,FIFA World Cup,Al Khor,Qatar,true,england,senegal,world_cup,20221204-england-senegal,England,Senegal,
2022-12-04,3,1,FIFA World Cup,Doha,Qatar,true,france,poland,world_cup,20221204-france-poland,France,Poland,
2022-12-05,4,1,FIFA World Cup,Doha,Qatar,true,brazil,south-korea,world_cup,20221205-brazil-south-korea,Brazil,South Korea,
2022-12-05,1,1,FIFA World Cup,Al Wakrah,Qatar,true,japan,croatia,world_cup,20221205-japan-croatia,Japan,Croatia,croatia
2022-12-06,0,0,FIFA World Cup,Al Rayyan,Qatar,true,morocco,spain,world_cup,20221206-morocco-spain,Morocco,Spain,morocco
2022-12-06,6,1,FIFA World Cup,Lusail,Qatar,true,portugal,switzerland,world_cup,20221206-portugal-switzerland,Portugal,Switzerland,
2022-12-09,1,1,FIFA World Cup,Al Rayyan,Qatar,true,croatia,brazil,world_cup,20221209-croatia-brazil,Croatia,Brazil,croatia
2022-12-09,2,2,FIFA World Cup,Lusail,Qatar,true,netherlands,argentina,world_cup,20221209-netherlands-argentina,Netherlands,Argentina,argentina
2022-12-10,1,2,FIFA World Cup,Al Khor,Qatar,true,england,france,world_cup,20221210-england-france,England,France,
2022-12-10,1,0,FIFA World Cup,Doha,Qatar,true,morocco,portugal,world_cup,20221210-morocco-portugal,Morocco,Portugal,
2022-12-13,3,0,FIFA World Cup,Lusail,Qatar,true,argentina,croatia,world_cup,20221213-argentina-croatia,Argentina,Croatia,
2022-12-14,2,0,FIFA World Cup,Al Khor,Qatar,true,france,morocco,world_cup,20221214-france-morocco,France,Morocco,
2022-12-17,2,1,FIFA World Cup,Al Rayyan,Qatar,true,croatia,morocco,world_cup,20221217-croatia-morocco,Croatia,Morocco,
2022-12-18,3,3,FIFA World Cup,Lusail,Qatar,true,argentina,france,world_cup,20221218-argentina-france,Argentina,France,argentina
