date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_id,away_id,team_id,player_slug,match_id,player_id
2024-09-09,Israel,Italy,Italy,Davide Frattesi,38.0,false,false,israel,italy,italy,davide-frattesi,20240909-israel-italy,italy/davide-frattesi
2024-09-09,Israel,Italy,Italy,Moise Kean,62.0,false,false,israel,italy,italy,moise-kean,20240909-israel-italy,italy/moise-kean
2024-09-10,Colombia,Argentina,Argentina,Nicolás González,48.0,false,false,colombia,argentina,argentina,nicolas-gonzalez,20240910-colombia-argentina,argentina/nicolas-gonzalez
2024-09-10,England,Finland,England,Harry Kane,57.0,false,false,england,finland,england,harry-kane,20240910-england-finland,england/harry-kane
2024-09-10,England,Finland,England,Harry Kane,76.0,false,false,england,finland,england,harry-kane,20240910-england-finland,england/harry-kane
2024-09-10,Netherlands,Germany,Netherlands,Tijjani Reijnders,2.0,false,false,netherlands,germany,netherlands,tijjani-reijnders,20240910-netherlands-germany,netherlands/tijjani-reijnders
2024-09-10,Netherlands,Germany,Germany,Deniz Undav,38.0,false,false,netherlands,germany,germany,deniz-undav,20240910-netherlands-germany,germany/deniz-undav
2024-09-10,Netherlands,Germany,Germany,Joshua Kimmich,45.0,false,false,netherlands,germany,germany,joshua-kimmich,20240910-netherlands-germany,germany/joshua-kimmich
2024-09-10,Netherlands,Germany,Netherlands,Denzel Dumfries,50.0,false,false,netherlands,germany,netherlands,denzel-dumfries,20240910-netherlands-germany,netherlands/denzel-dumfries
2024-10-10,Chile,Brazil,Brazil,Igor Jesus,45.0,false,false,chile,brazil,brazil,igor-jesus,20241010-chile-brazil,brazil/igor-jesus
2024-10-10,Chile,Brazil,Brazil,Luiz Henrique,89.0,false,false,chile,brazil,brazil,luiz-henrique,20241010-chile-brazil,brazil/luiz-henrique
2024-10-10,England,Greece,England,Jude Bellingham,87.0,false,false,england,greece,england,jude-bellingham,20241010-england-greece,england/jude-bellingham
2024-10-10,Israel,France,France,Eduardo Camavinga,7.0,false,false,israel,france,france,eduardo-camavinga,20241010-israel-france,france/eduardo-camavinga
2024-10-10,Israel,France,France,Christopher Nkunku,28.0,false,false,israel,france,france,christopher-nkunku,20241010-israel-france,france/christopher-nkunku
2024-10-10,Israel,France,France,Mattéo Guendouzi,87.0,false,false,israel,france,france,matteo-guendouzi,20241010-israel-france,france/matteo-guendouzi
2024-10-10,Israel,France,France,Bradley Barcola,89.0,false,false,israel,france,france,bradley-barcola,20241010-israel-france,france/bradley-barcola
2024-10-10,Italy,Belgium,Italy,Andrea Cambiaso,1.0,false,false,italy,belgium,italy,andrea-cambiaso,20241010-italy-belgium,italy/andrea-cambiaso
2024-10-10,Italy,Belgium,Italy,Mateo Retegui,24.0,false,false,italy,belgium,italy,mateo-retegui,20241010-italy-belgium,italy/mateo-retegui
2024-10-10,Venezuela,Argentina,Argentina,Nicolás Otamendi,13.0,false,false,venezuela,argentina,argentina,nicolas-otamendi,20241010-venezuela-argentina,argentina/nicolas-otamendi
2024-10-11,Bosnia and Herzegovina,Germany,Germany,Deniz Undav,30.0,false,false,bosnia-and-herzegovina,germany,germany,deniz-undav,20241011-bosnia-and-herzegovina-germany,germany/deniz-undav
2024-10-11,Bosnia and Herzegovina,Germany,Germany,Deniz Undav,36.0,false,false,bosnia-and-herzegovina,germany,germany,deniz-undav,20241011-bosnia-and-herzegovina-germany,germany/deniz-undav
2024-10-11,Hungary,Netherlands,Netherlands,Denzel Dumfries,83.0,false,false,hungary,netherlands,netherlands,denzel-dumfries,20241011-hungary-netherlands,netherlands/denzel-dumfries
2024-10-12,Spain,Denmark,Spain,Martin Zubimendi,79.0,false,false,spain,denmark,spain,martin-zubimendi,20241012-spain-denmark,spain/martin-zubimendi
2024-10-13,Finland,England,England,Jack Grealish,18.0,false,false,finland,england,england,jack-grealish,20241013-finland-england,england/jack-grealish
2024-10-13,Finland,England,England,Trent Alexander-Arnold,74.0,false,false,finland,england,england,trent-alexander-arnold,20241013-finland-england,england/trent-alexander-arnold
2024-10-13,Finland,England,England,Declan Rice,84.0,false,false,finland,england,england,declan-rice,20241013-finland-england,england/declan-rice
2024-10-14,Belgium,France,France,Randal Kolo Muani,35.0,false,true,belgium,france,france,randal-kolo-muani,20241014-belgium-france,france/randal-kolo-muani
2024-10-14,Belgium,France,France,Randal Kolo Muani,62.0,false,false,belgium,france,france,randal-kolo-muani,20241014-belgium-france,france/randal-kolo-muani
2024-10-14,Germany,Netherlands,Germany,Jamie Leweling,64.0,false,false,germany,netherlands,germany,jamie-leweling,20241014-germany-netherlands,germany/jamie-leweling
2024-10-14,Italy,Israel,Italy,Mateo Retegui,41.0,false,true,italy,israel,italy,mateo-retegui,20241014-italy-israel,italy/mateo-retegui
2024-10-14,Italy,Israel,Italy,Giovanni Di Lorenzo,54.0,false,false,italy,israel,italy,giovanni-di-lorenzo,20241014-italy-israel,italy/giovanni-di-lorenzo
2024-10-14,Italy,Israel,Italy,Davide Frattesi,72.0,false,false,italy,israel,italy,davide-frattesi,20241014-italy-israel,italy/davide-frattesi
2024-10-14,Italy,Israel,Italy,Giovanni Di Lorenzo,79.0,false,false,italy,israel,italy,giovanni-di-lorenzo,20241014-italy-israel,italy/giovanni-di-lorenzo
2024-10-15,Argentina,Bolivia,Argentina,Lionel Messi,19.0,false,false,argentina,bolivia,argentina,lionel-messi,20241015-argentina-bolivia,argentina/lionel-messi
2024-10-15,Argentina,Bolivia,Argentina,Lautaro Martínez,43.0,false,false,argentina,bolivia,argentina,lautaro-martinez,20241015-argentina-bolivia,argentina/lautaro-martinez
2024-10-15,Argentina,Bolivia,Argentina,Julián Alvarez,45.0,false,false,argentina,bolivia,argentina,julian-alvarez,20241015-argentina-bolivia,argentina/julian-alvarez
2024-10-15,Argentina,Bolivia,Argentina,Thiago Almada,69.0,false,false,argentina,bolivia,argentina,thiago-almada,20241015-argentina-bolivia,argentina/thiago-almada
2024-10-15,Argentina,Bolivia,Argentina,Lionel Messi,84.0,false,false,argentina,bolivia,argentina,lionel-messi,20241015-argentina-bolivia,argentina/lionel-messi
2024-10-15,Argentina,Bolivia,Argentina,Lionel Messi,86.0,false,false,argentina,bolivia,argentina,lionel-messi,20241015-argentina-bolivia,argentina/lionel-messi
2024-10-15,Brazil,Peru,Brazil,Raphinha,38.0,false,true,brazil,peru,brazil,raphinha,20241015-brazil-peru,brazil/raphinha
2024-10-15,Brazil,Peru,Brazil,Raphinha,54.0,false,true,brazil,peru,brazil,raphinha,20241015-brazil-peru,brazil/raphinha
2024-10-15,Brazil,Peru,Brazil,Andreas Pereira,71.0,false,false,brazil,peru,brazil,andreas-pereira,20241015-brazil-peru,brazil/andreas-pereira
2024-10-15,Brazil,Peru,Brazil,Luiz Henrique,74.0,false,false,brazil,peru,brazil,luiz-henrique,20241015-brazil-peru,brazil/luiz-henrique
2024-10-15,Spain,Serbia,Spain,Aymeric Laporte,5.0,false,false,spain,serbia,spain,aymeric-laporte,20241015-spain-serbia,spain/aymeric-laporte
2024-10-15,Spain,Serbia,Spain,Álvaro Morata,65.0,false,false,spain,serbia,spain,alvaro-morata,20241015-spain-serbia,spain/alvaro-morata
2024-10-15,Spain,Serbia,Spain,Álex Baena,77.0,false,false,spain,serbia,spain,alex-baena,20241015-spain-serbia,spain/alex-baena
2024-11-14,Belgium,Italy,Italy,Sandro Tonali,11.0,false,false,belgium,italy,italy,sandro-tonali,20241114-belgium-italy,italy/sandro-tonali
2024-11-14,Greece,England,England,Ollie Watkins,7.0,false,false,greece,england,england,ollie-watkins,20241114-greece-england,england/ollie-watkins
